UTC時刻からの時差	地域	タイムゾーンのID
(UTC-12:00)	国際日付変更線 西側	Etc/GMT+12
(UTC-11:00)	協定世界時-11	Etc/GMT+11
(UTC-10:00)	ハワイ	Pacific/Honolulu
(UTC-09:00)	アラスカ	America/Anchorage
(UTC-08:00)	バハカリフォルニア	America/Santa_Isabel
(UTC-08:00)	太平洋標準時(米国およびカナダ)	America/Los_Angeles
(UTC-07:00)	チワワ、ラパス、マサトラン	America/Chihuahua
(UTC-07:00)	アリゾナ	America/Phoenix
(UTC-07:00)	山地標準時(米国およびカナダ)	America/Denver
(UTC-06:00)	中央アメリカ	America/Guatemala
(UTC-06:00)	中部標準時(米国およびカナダ)	America/Chicago
(UTC-06:00)	サスカチュワン	America/Regina
(UTC-06:00)	グアダラハラ、メキシコシティ、モンテレー	America/Mexico_City
(UTC-05:00)	ボゴタ、リマ、キト	America/Bogota
(UTC-05:00)	インディアナ東部	America/Indiana/Indianapolis
(UTC-05:00)	東部標準時(米国およびカナダ)	America/New_York
(UTC-04:30)	カラカス	America/Caracas
(UTC-04:00)	大西洋標準時(カナダ)	America/Halifax
(UTC-04:00)	アスンシオン	America/Asuncion
(UTC-04:00)	ジョージタウン、ラパス、マナウス、サンフアン	America/La_Paz
(UTC-04:00)	クイアバ	America/Cuiaba
(UTC-04:00)	サンチアゴ	America/Santiago
(UTC-03:30)	ニューファンドランド	America/St_Johns
(UTC-03:00)	ブラジリア	America/Sao_Paulo
(UTC-03:00)	グリーンランド	America/Godthab
(UTC-03:00)	カイエンヌ、フォルタレザ	America/Cayenne
(UTC-03:00)	ブエノスアイレス	America/Argentina/Buenos_Aires
(UTC-03:00)	モンテビデオ	America/Montevideo
(UTC-02:00)	協定世界時-2	Etc/GMT+2
(UTC-01:00)	カーボベルデ諸島	Atlantic/Cape_Verde
(UTC-01:00)	アゾレス	Atlantic/Azores
(UTC+00:00)	カサブランカ	Africa/Casablanca
(UTC+00:00)	モンロビア、レイキャビク	Atlantic/Reykjavik
(UTC+00:00)	ダブリン、エジンバラ、リスボン、ロンドン	Europe/London
(UTC+00:00)	協定世界時	Etc/GMT
(UTC+01:00)	アムステルダム、ベルリン、ベルン、ローマ、ストックホルム、ウィーン	Europe/Berlin
(UTC+01:00)	ブリュッセル、コペンハーゲン、マドリード、パリ	Europe/Paris
(UTC+01:00)	西中央アフリカ	Africa/Lagos
(UTC+01:00)	ベオグラード、ブラチスラバ、ブダペスト、リュブリャナ、プラハ	Europe/Budapest
(UTC+01:00)	サラエボ、スコピエ、ワルシャワ、ザグレブ	Europe/Warsaw
(UTC+01:00)	ウィントフック	Africa/Windhoek
(UTC+02:00)	アテネ、ブカレスト、イスタンブール	Europe/Istanbul
(UTC+02:00)	ヘルシンキ、キエフ、リガ、ソフィア、タリン、ビリニュス	Europe/Kiev
(UTC+02:00)	カイロ	Africa/Cairo
(UTC+02:00)	ダマスカス	Asia/Damascus
(UTC+02:00)	アンマン	Asia/Amman
(UTC+02:00)	ハラーレ、プレトリア	Africa/Johannesburg
(UTC+02:00)	エルサレム	Asia/Jerusalem
(UTC+02:00)	ベイルート	Asia/Beirut
(UTC+03:00)	バグダッド	Asia/Baghdad
(UTC+03:00)	ミンスク	Europe/Minsk
(UTC+03:00)	クエート、リヤド	Asia/Riyadh
(UTC+03:00)	ナイロビ	Africa/Nairobi
(UTC+03:30)	テヘラン	Asia/Tehran
(UTC+04:00)	モスクワ、サンクトペテルブルグ、ボルゴグラード	Europe/Moscow
(UTC+04:00)	トビリシ	Asia/Tbilisi
(UTC+04:00)	エレバン	Asia/Yerevan
(UTC+04:00)	アブダビ、マスカット	Asia/Dubai
(UTC+04:00)	バクー	Asia/Baku
(UTC+04:00)	ポートルイス	Indian/Mauritius
(UTC+04:30)	カブール	Asia/Kabul
(UTC+05:00)	タシケント	Asia/Tashkent
(UTC+05:00)	イスラマバード、カラチ	Asia/Karachi
(UTC+05:30)	スリジャヤワルダナプラコッテ	Asia/Colombo
(UTC+05:30)	チェンナイ、コルカタ、ムンバイ、ニューデリー	Asia/Kolkata
(UTC+05:45)	カトマンズ	Asia/Kathmandu
(UTC+06:00)	アスタナ	Asia/Almaty
(UTC+06:00)	ダッカ	Asia/Dhaka
(UTC+06:00)	エカテリンブルグ	Asia/Yekaterinburg
(UTC+06:30)	ヤンゴン	Asia/Yangon
(UTC+07:00)	バンコク、ハノイ、ジャカルタ	Asia/Bangkok
(UTC+07:00)	ノヴォシビルスク	Asia/Novosibirsk
(UTC+08:00)	クラスノヤルスク	Asia/Krasnoyarsk
(UTC+08:00)	ウランバートル	Asia/Ulaanbaatar
(UTC+08:00)	北京、重慶、香港、ウルムチ	Asia/Shanghai
(UTC+08:00)	パース	Australia/Perth
(UTC+08:00)	クアラルンプール、シンガポール	Asia/Singapore
(UTC+08:00)	台北	Asia/Taipei
(UTC+09:00)	イルクーツク	Asia/Irkutsk
(UTC+09:00)	ソウル	Asia/Seoul
(UTC+09:00)	大阪、札幌、東京	Asia/Tokyo
(UTC+09:30)	ダーウィン	Australia/Darwin
(UTC+09:30)	アデレード	Australia/Adelaide
(UTC+10:00)	ホバート	Australia/Hobart
(UTC+10:00)	ヤクーツク	Asia/Yakutsk
(UTC+10:00)	ブリスベン	Australia/Brisbane
(UTC+10:00)	グアム、ポートモレスビー	Pacific/Port_Moresby
(UTC+10:00)	キャンベラ、メルボルン、シドニー	Australia/Sydney
(UTC+11:00)	ウラジオストク	Asia/Vladivostok
(UTC+11:00)	ソロモン諸島、ニューカレドニア	Pacific/Guadalcanal
(UTC+12:00)	協定世界時+12	Etc/GMT-12
(UTC+12:00)	フィジー、マーシャル諸島	Pacific/Fiji
(UTC+12:00)	マガダン	Asia/Magadan
(UTC+12:00)	オークランド、ウェリントン	Pacific/Auckland
(UTC+13:00)	ヌクアロファ	Pacific/Tongatapu
(UTC+13:00)	サモア	Pacific/Apia
